adsorption,,desorption,,adsorption_deform,,desorption_deform,
X,Y,X,Y,X,Y,X,Y
0.008142589118198873,0.14590368980612922,0.8347842401500937,5.419824890556598,0.0157308959771187,-2.0352546166759993,0.9859789840203942,33.55791829882485
0.037679799874921815,0.3301125703564729,0.7720262664165103,4.86963727329581,0.03568985885717839,-1.937884722999435,0.8749300503637378,32.804327550830074
0.10585782780904732,0.9751511361267458,0.6853762768396913,4.164800917239942,0.049990673381831746,0.0695765715351584,0.6733818317478082,30.568737175900022
0.17587242026266411,1.504252657911195,0.5852240983948299,3.6255993329164062,0.06985637008020891,0.2973325872038828,0.4525586022508238,25.279612012684204
0.2848175943297894,1.993485511778195,0.48618303106107974,3.180842193037315,0.08393956351426972,0.6090281663868709,0.2943480693900391,20.457936952061182
0.3526599958307275,2.3191890765061496,0.4039774859287054,2.853783614759225,0.10094509730771618,0.8352919231486666,0.1332773736243238,13.634769632531242
0.430556597873671,2.6458411507191992,0.3062226391494684,2.4526891807379614,0.1261269663619971,1.6310389852639418,0.06892370826338366,9.60119380712554
0.49981029810298094,2.9789347508859705,0.2056702105482593,2.0295601417552636,0.14232419324752843,2.987315799291178,0.010352546166759916,5.48367841820556
0.5805294976026683,3.3203668959766524,0.08900771315405459,1.2783510527412965,0.15824162158801214,6.734750979294908,,
0.6987533875338753,4.0354388159266215,0.018632478632478633,0.4371690639983319,0.18973450226947708,8.707703786606974,,
0.8362205545132374,5.419960391911612,0.006656243485511776,0.16027725661871983,0.23375614002362738,11.165454206304794,,
,,,,0.29534290866131935,13.067151650811418,,
,,,,0.37496113909096557,15.760865510166013,,
,,,,0.44699372007710003,19.059317291550087,,
,,,,0.5000310887272275,20.913075918671893,,
,,,,0.5253373126904183,21.534974818130948,,
,,,,0.5687993533544736,22.77504196978176,,
,,,,0.6630292855810482,25.04159671703041,,
,,,,0.7207610520425293,26.332587203879875,,
,,,,0.781166449045576,27.885842193620597,,
,,,,0.8694273456444691,30.497108748367847,,
,,,,0.9607349375116582,32.84909531803768,,
,,,,0.9845489025679287,33.55717216937139,,
