adsorption,,adsorption_deform,
X,Y,X,Y
0.008904628750867845,0.03424269253552659,0.013836466574726015,-0.20282445379981096
0.0664025427237463,0.4613591342509733,0.06592509254554693,-0.12735900413733026
0.13190485593142967,0.6045211054988311,0.07907200406474557,0.016317957465340927
0.23906826245087479,0.8506659362917768,0.09842944763010819,0.03920256587065407
0.30007579762670616,0.9994331101868186,0.15490945053349786,0.15800110691732616
0.3670197519697828,1.1710287457722126,0.184719097045801,0.17865373448501143
0.4428364873214137,1.3939119855793423,0.22940407926253903,0.2244501705741453
0.5187169181576717,1.5827054020140512,0.3083263772954925,0.3159954090150252
0.6317848961020485,1.8687236061835577,0.3530022864193947,0.36635107425419156
0.7254427366977286,2.1430473193755293,0.39316433185744354,0.43492324163460827
0.80243571533214,2.536405154238616,0.41847826086956524,0.4646739130434785
0.8422305309443279,2.8382198385956414,0.4586765986789577,0.5150091638237642
0.9628230688059854,3.897093575036465,0.47803404224432033,0.5378937722290775
,,0.5212083545038833,0.5928018617986499
,,0.5806779414966974,0.7093343979095594
,,0.7695479785149161,1.0521407962546272
,,0.8542815925092545,1.2234997640995862
,,0.8884916890469623,1.28292625390143
,,0.9701903534876969,1.4793473724323147
