adsorption,,adsorption_deform,
X,Y,X,Y
0.02640578133755231,0.37324895349220544,0.014197298173944314,-0.1341708234345278
0.06641616401331618,0.7197336761264386,0.06266930245198167,0.057021504150923885
0.12469305184745705,0.963050858630806,0.09333660614880208,0.2127096282140073
0.23694543327070766,1.3345858466000866,0.152225368410902,0.4187655056938224
0.3013695243745674,1.512508652229804,0.19476247249520034,0.5981230987718176
0.37470541217574743,1.7564850522429887,0.2772220809846499,0.883677709496717
0.4466590032631267,1.934737466627114,0.3376099096176942,1.0897686528565542
0.5245743926958699,2.1460825999538553,0.38643476431345386,1.2137177722646422
0.5845528857246448,2.285507103068658,0.4456150117032374,1.3642249125544617
0.6550520781831966,2.4363360690859954,0.49287943473801393,1.4998334370698951
0.7375572695210785,2.6095784304031118,0.5581633368691429,1.63001551665191
0.8169888592241009,2.815517980157553,0.6279751207581243,1.754455558380307
0.8648377500906425,2.998187151850753,0.6875389012106495,1.8318722549990794
0.9821867068789347,3.8624213059098853,0.9023765900184972,2.0328041307606664
,,0.9473178985018105,2.039703342655013
,,0.9863243067913843,2.0347678200419037
