adsorption,,desorption,,adsorption_deform,,desorption_deform,
X,Y,X,Y,X,Y,X,Y
0.03400589284604939,0.06081168629469569,0.8379622644858403,0.7178143221008353,0.016745624489072297,0.09526154573480028,0.9893904324787501,11.765864612778364
0.05680295352283922,0.06806947168505229,0.7627286362143788,0.5740377532636961,0.03201189784400822,0.09762535580266096,0.8981237257586352,10.884636219479765
0.10239707487641887,0.0825850424657657,0.6777682620541539,0.4591645293266714,0.04575745338862022,0.08426982891924517,0.8348268016664859,8.722577340910657
0.16925957809352227,0.10433887414691312,0.5713620106674713,0.346339601877901,0.07475746323782884,0.1042440239926723,0.7575774886487869,7.1157774472821105
0.23612208131062573,0.12609270582806031,0.4687874404281187,0.27304111680082366,0.09763914469472376,0.15423860692793134,0.6028543006569422,4.490529985915631
0.2802318976916728,0.13826711277167902,0.36725343675396477,0.22530018903256166,0.15410662753247775,0.2094335720124878,0.42930927499975374,3.1784972077493574
0.35617772610690546,0.16478137008670668,0.2579651044116472,0.1832657371826163,0.1846273551920103,0.24512710403718785,0.19919039505175762,2.089962671499345
0.4169698879116782,0.18413546446099116,0.15596517540979238,0.1599020225596608,0.21514808285154285,0.2808206360618932,0.020817287330962955,1.4275048999812867
0.46096876969089184,0.20211396977253981,0.10153178498211736,0.12785700973562086,0.23956230116910104,0.31556864405945007,0.0071426460883867865,1.2550649555308215
0.5170195866132997,0.22953522839215845,0.03630889518011342,0.10031860417646599,0.28382267484807594,0.35338960514522455,,
0.5922998074175312,0.29087407591476677,0.01517363483878982,0.08611542523451587,0.31891737498891964,0.40527523613477534,,
0.6149193727313874,0.3074184186938118,,,0.35095882045877613,0.45668810511075364,,
0.6765967926587917,0.3604558080920136,,,0.3768996661118279,0.4916724941150967,,
0.7318488804479982,0.4296665749607293,,,0.41808905654430667,0.5754695610207712,,
0.8379400775654736,0.7189751417744212,,,0.4531778471599807,0.6428381479548086,,
,,,,0.4913080733963026,0.7416454087914026,,
,,,,0.517237099999015,0.8075957096847244,,
,,,,0.5614620165269719,0.938314406437442,,
,,,,0.6026395879091115,1.0530773852320952,,
,,,,0.6575331672100146,1.2318996168657836,,
,,,,0.7002255468773084,1.3778648885562053,,
,,,,0.7367995981522886,1.5538505481084588,,
,,,,0.7900838167653228,1.949197781958219,,
,,,,0.8235455181176192,2.2795402389418005,,
,,,,0.8630546335601934,2.765657779397424,,
,,,,0.9700150692891825,6.529316169445785,,
,,,,0.9893904324787501,11.765864612778364,,
